,category,instruction,operand1,operand2,operand3,operand4,operand5,time,type,issue2inst,delay,inflight SMEM,inflight VMEM,inflight FLAT,shader,simd,wave_id,begin_time,end_time,num_mem_instrs,num_issued_instrs,num_valu_instrs,num_valu_stalls,num_vmem_instrs,num_vmem_stalls,num_flat_instrs,num_flat_stalls,num_lds_instrs,num_lds_stalls,num_salu_instrs,num_salu_stalls,num_smem_instrs,num_smem_stalls,num_branch_instrs,num_branch_taken_instrs,num_branch_stalls
33,LDS,ds_write_b32,v5,v4,,,,8972,5,4,4,0,0,0,0,0,0,6096,485564,516,2278,972,0,0,0,130,26,384,0,144,0,2,0,51,6,0
34,VALU,v_add_u32_e32,v5,s5,v5,,,8976,6,0,12,0,0,0,0,0,0,6096,485564,516,2278,972,0,0,0,130,26,384,0,144,0,2,0,51,6,0
35,LDS,ds_write_b32,v5,v4,,,,8992,5,4,4,0,0,0,0,0,0,6096,485564,516,2278,972,0,0,0,130,26,384,0,144,0,2,0,51,6,0
36,VALU,v_add_u32_e32,v5,s5,v5,,,8996,6,0,4,0,0,0,0,0,0,6096,485564,516,2278,972,0,0,0,130,26,384,0,144,0,2,0,51,6,0
37,SALU,s_add_i32,s6,s6,-8,,,9004,2,4,4,0,0,0,0,0,0,6096,485564,516,2278,972,0,0,0,130,26,384,0,144,0,2,0,51,6,0
38,LDS,ds_write_b32,v5,v4,,,,9012,5,4,4,0,0,0,0,0,0,6096,485564,516,2278,972,0,0,0,130,26,384,0,144,0,2,0,51,6,0
39,VALU,v_add_u32_e32,v5,s5,v5,,,9016,6,0,12,0,0,0,0,0,0,6096,485564,516,2278,972,0,0,0,130,26,384,0,144,0,2,0,51,6,0
40,LDS,ds_write_b32,v3,v4,,,,9032,5,4,4,0,0,0,0,0,0,6096,485564,516,2278,972,0,0,0,130,26,384,0,144,0,2,0,51,6,0
41,VALU,v_add_u32_e32,v3,s4,v3,,,9036,6,0,4,0,0,0,0,0,0,6096,485564,516,2278,972,0,0,0,130,26,384,0,144,0,2,0,51,6,0
42,SALU,s_cmp_eq_u32,s6,0,,,,9044,2,4,4,0,0,0,0,0,0,6096,485564,516,2278,972,0,0,0,130,26,384,0,144,0,2,0,51,6,0
43,LDS,ds_write_b32,v5,v4,,,,9052,5,4,4,0,0,0,0,0,0,6096,485564,516,2278,972,0,0,0,130,26,384,0,144,0,2,0,51,6,0
44,VALU,v_add_u32_e32,v5,s5,v5,,,9056,6,0,12,0,0,0,0,0,0,6096,485564,516,2278,972,0,0,0,130,26,384,0,144,0,2,0,51,6,0
45,LDS,ds_write_b32,v5,v4,,,,9072,5,4,4,0,0,0,0,0,0,6096,485564,516,2278,972,0,0,0,130,26,384,0,144,0,2,0,51,6,0
46,JUMP,s_cbranch_scc0,.LBB0_1,,,,,9076,7,0,20,0,0,0,0,0,0,6096,485564,516,2278,972,0,0,0,130,26,384,0,144,0,2,0,51,6,0
47,VALU,v_add_u32_e32,v5,s5,v3,,,9096,6,0,16,0,0,0,0,0,0,6096,485564,516,2278,972,0,0,0,130,26,384,0,144,0,2,0,51,6,0
48,LDS,ds_write_b32,v5,v4,,,,9116,5,4,4,0,0,0,0,0,0,6096,485564,516,2278,972,0,0,0,130,26,384,0,144,0,2,0,51,6,0
49,VALU,v_add_u32_e32,v5,s5,v5,,,9120,6,0,12,0,0,0,0,0,0,6096,485564,516,2278,972,0,0,0,130,26,384,0,144,0,2,0,51,6,0
50,LDS,ds_write_b32,v5,v4,,,,9136,5,4,4,0,0,0,0,0,0,6096,485564,516,2278,972,0,0,0,130,26,384,0,144,0,2,0,51,6,0
51,VALU,v_add_u32_e32,v5,s5,v5,,,9140,6,0,12,0,0,0,0,0,0,6096,485564,516,2278,972,0,0,0,130,26,384,0,144,0,2,0,51,6,0
52,LDS,ds_write_b32,v5,v4,,,,9156,5,4,4,0,0,0,0,0,0,6096,485564,516,2278,972,0,0,0,130,26,384,0,144,0,2,0,51,6,0
53,VALU,v_add_u32_e32,v5,s5,v5,,,9160,6,0,12,0,0,0,0,0,0,6096,485564,516,2278,972,0,0,0,130,26,384,0,144,0,2,0,51,6,0
54,LDS,ds_write_b32,v5,v4,,,,9176,5,4,4,0,0,0,0,0,0,6096,485564,516,2278,972,0,0,0,130,26,384,0,144,0,2,0,51,6,0
55,VALU,v_add_u32_e32,v5,s5,v5,,,9180,6,0,4,0,0,0,0,0,0,6096,485564,516,2278,972,0,0,0,130,26,384,0,144,0,2,0,51,6,0
56,SALU,s_add_i32,s6,s6,-8,,,9188,2,4,4,0,0,0,0,0,0,6096,485564,516,2278,972,0,0,0,130,26,384,0,144,0,2,0,51,6,0
57,LDS,ds_write_b32,v5,v4,,,,9196,5,4,4,0,0,0,0,0,0,6096,485564,516,2278,972,0,0,0,130,26,384,0,144,0,2,0,51,6,0
58,VALU,v_add_u32_e32,v5,s5,v5,,,9200,6,0,12,0,0,0,0,0,0,6096,485564,516,2278,972,0,0,0,130,26,384,0,144,0,2,0,51,6,0
59,LDS,ds_write_b32,v3,v4,,,,9216,5,4,4,0,0,0,0,0,0,6096,485564,516,2278,972,0,0,0,130,26,384,0,144,0,2,0,51,6,0
60,VALU,v_add_u32_e32,v3,s4,v3,,,9220,6,0,4,0,0,0,0,0,0,6096,485564,516,2278,972,0,0,0,130,26,384,0,144,0,2,0,51,6,0
61,SALU,s_cmp_eq_u32,s6,0,,,,9228,2,4,4,0,0,0,0,0,0,6096,485564,516,2278,972,0,0,0,130,26,384,0,144,0,2,0,51,6,0
62,LDS,ds_write_b32,v5,v4,,,,9236,5,4,4,0,0,0,0,0,0,6096,485564,516,2278,972,0,0,0,130,26,384,0,144,0,2,0,51,6,0
63,VALU,v_add_u32_e32,v5,s5,v5,,,9240,6,0,12,0,0,0,0,0,0,6096,485564,516,2278,972,0,0,0,130,26,384,0,144,0,2,0,51,6,0
64,LDS,ds_write_b32,v5,v4,,,,9256,5,4,4,0,0,0,0,0,0,6096,485564,516,2278,972,0,0,0,130,26,384,0,144,0,2,0,51,6,0
65,JUMP,s_cbranch_scc0,.LBB0_1,,,,,9260,7,0,20,0,0,0,0,0,0,6096,485564,516,2278,972,0,0,0,130,26,384,0,144,0,2,0,51,6,0
66,VALU,v_add_u32_e32,v5,s5,v3,,,9280,6,0,16,0,0,0,0,0,0,6096,485564,516,2278,972,0,0,0,130,26,384,0,144,0,2,0,51,6,0
67,LDS,ds_write_b32,v5,v4,,,,9300,5,4,4,0,0,0,0,0,0,6096,485564,516,2278,972,0,0,0,130,26,384,0,144,0,2,0,51,6,0
68,VALU,v_add_u32_e32,v5,s5,v5,,,9304,6,0,12,0,0,0,0,0,0,6096,485564,516,2278,972,0,0,0,130,26,384,0,144,0,2,0,51,6,0
69,LDS,ds_write_b32,v5,v4,,,,9320,5,4,4,0,0,0,0,0,0,6096,485564,516,2278,972,0,0,0,130,26,384,0,144,0,2,0,51,6,0
70,VALU,v_add_u32_e32,v5,s5,v5,,,9324,6,0,12,0,0,0,0,0,0,6096,485564,516,2278,972,0,0,0,130,26,384,0,144,0,2,0,51,6,0
71,LDS,ds_write_b32,v5,v4,,,,9340,5,4,4,0,0,0,0,0,0,6096,485564,516,2278,972,0,0,0,130,26,384,0,144,0,2,0,51,6,0
72,VALU,v_add_u32_e32,v5,s5,v5,,,9344,6,0,12,0,0,0,0,0,0,6096,485564,516,2278,972,0,0,0,130,26,384,0,144,0,2,0,51,6,0
73,LDS,ds_write_b32,v5,v4,,,,9360,5,4,4,0,0,0,0,0,0,6096,485564,516,2278,972,0,0,0,130,26,384,0,144,0,2,0,51,6,0
74,VALU,v_add_u32_e32,v5,s5,v5,,,9364,6,0,4,0,0,0,0,0,0,6096,485564,516,2278,972,0,0,0,130,26,384,0,144,0,2,0,51,6,0
75,SALU,s_add_i32,s6,s6,-8,,,9372,2,4,4,0,0,0,0,0,0,6096,485564,516,2278,972,0,0,0,130,26,384,0,144,0,2,0,51,6,0
76,LDS,ds_write_b32,v5,v4,,,,9380,5,4,4,0,0,0,0,0,0,6096,485564,516,2278,972,0,0,0,130,26,384,0,144,0,2,0,51,6,0
77,VALU,v_add_u32_e32,v5,s5,v5,,,9384,6,0,12,0,0,0,0,0,0,6096,485564,516,2278,972,0,0,0,130,26,384,0,144,0,2,0,51,6,0
78,LDS,ds_write_b32,v3,v4,,,,9400,5,4,4,0,0,0,0,0,0,6096,485564,516,2278,972,0,0,0,130,26,384,0,144,0,2,0,51,6,0
79,VALU,v_add_u32_e32,v3,s4,v3,,,9404,6,0,4,0,0,0,0,0,0,6096,485564,516,2278,972,0,0,0,130,26,384,0,144,0,2,0,51,6,0
80,SALU,s_cmp_eq_u32,s6,0,,,,9412,2,4,4,0,0,0,0,0,0,6096,485564,516,2278,972,0,0,0,130,26,384,0,144,0,2,0,51,6,0
81,LDS,ds_write_b32,v5,v4,,,,9420,5,4,4,0,0,0,0,0,0,6096,485564,516,2278,972,0,0,0,130,26,384,0,144,0,2,0,51,6,0
82,VALU,v_add_u32_e32,v5,s5,v5,,,9424,6,0,12,0,0,0,0,0,0,6096,485564,516,2278,972,0,0,0,130,26,384,0,144,0,2,0,51,6,0
83,LDS,ds_write_b32,v5,v4,,,,9440,5,4,4,0,0,0,0,0,0,6096,485564,516,2278,972,0,0,0,130,26,384,0,144,0,2,0,51,6,0
84,JUMP,s_cbranch_scc0,.LBB0_1,,,,,9444,7,0,20,0,0,0,0,0,0,6096,485564,516,2278,972,0,0,0,130,26,384,0,144,0,2,0,51,6,0
85,VALU,v_add_u32_e32,v5,s5,v3,,,9464,6,0,16,0,0,0,0,0,0,6096,485564,516,2278,972,0,0,0,130,26,384,0,144,0,2,0,51,6,0
86,LDS,ds_write_b32,v5,v4,,,,9484,5,4,4,0,0,0,0,0,0,6096,485564,516,2278,972,0,0,0,130,26,384,0,144,0,2,0,51,6,0
87,VALU,v_add_u32_e32,v5,s5,v5,,,9488,6,0,12,0,0,0,0,0,0,6096,485564,516,2278,972,0,0,0,130,26,384,0,144,0,2,0,51,6,0
88,LDS,ds_write_b32,v5,v4,,,,9504,5,4,4,0,0,0,0,0,0,6096,485564,516,2278,972,0,0,0,130,26,384,0,144,0,2,0,51,6,0
89,VALU,v_add_u32_e32,v5,s5,v5,,,9508,6,0,12,0,0,0,0,0,0,6096,485564,516,2278,972,0,0,0,130,26,384,0,144,0,2,0,51,6,0
90,LDS,ds_write_b32,v5,v4,,,,9524,5,4,4,0,0,0,0,0,0,6096,485564,516,2278,972,0,0,0,130,26,384,0,144,0,2,0,51,6,0
91,VALU,v_add_u32_e32,v5,s5,v5,,,9528,6,0,12,0,0,0,0,0,0,6096,485564,516,2278,972,0,0,0,130,26,384,0,144,0,2,0,51,6,0
92,LDS,ds_write_b32,v5,v4,,,,9544,5,4,4,0,0,0,0,0,0,6096,485564,516,2278,972,0,0,0,130,26,384,0,144,0,2,0,51,6,0
93,VALU,v_add_u32_e32,v5,s5,v5,,,9548,6,0,4,0,0,0,0,0,0,6096,485564,516,2278,972,0,0,0,130,26,384,0,144,0,2,0,51,6,0
94,SALU,s_add_i32,s6,s6,-8,,,9556,2,4,4,0,0,0,0,0,0,6096,485564,516,2278,972,0,0,0,130,26,384,0,144,0,2,0,51,6,0
95,LDS,ds_write_b32,v5,v4,,,,9564,5,4,4,0,0,0,0,0,0,6096,485564,516,2278,972,0,0,0,130,26,384,0,144,0,2,0,51,6,0
96,VALU,v_add_u32_e32,v5,s5,v5,,,9568,6,0,12,0,0,0,0,0,0,6096,485564,516,2278,972,0,0,0,130,26,384,0,144,0,2,0,51,6,0
97,LDS,ds_write_b32,v3,v4,,,,9584,5,4,4,0,0,0,0,0,0,6096,485564,516,2278,972,0,0,0,130,26,384,0,144,0,2,0,51,6,0
98,VALU,v_add_u32_e32,v3,s4,v3,,,9588,6,0,4,0,0,0,0,0,0,6096,485564,516,2278,972,0,0,0,130,26,384,0,144,0,2,0,51,6,0
99,SALU,s_cmp_eq_u32,s6,0,,,,9596,2,4,4,0,0,0,0,0,0,6096,485564,516,2278,972,0,0,0,130,26,384,0,144,0,2,0,51,6,0
100,LDS,ds_write_b32,v5,v4,,,,9604,5,4,4,0,0,0,0,0,0,6096,485564,516,2278,972,0,0,0,130,26,384,0,144,0,2,0,51,6,0
101,VALU,v_add_u32_e32,v5,s5,v5,,,9608,6,0,12,0,0,0,0,0,0,6096,485564,516,2278,972,0,0,0,130,26,384,0,144,0,2,0,51,6,0
102,LDS,ds_write_b32,v5,v4,,,,9624,5,4,4,0,0,0,0,0,0,6096,485564,516,2278,972,0,0,0,130,26,384,0,144,0,2,0,51,6,0
103,JUMP,s_cbranch_scc0,.LBB0_1,,,,,9628,7,0,20,0,0,0,0,0,0,6096,485564,516,2278,972,0,0,0,130,26,384,0,144,0,2,0,51,6,0
104,VALU,v_add_u32_e32,v5,s5,v3,,,9648,6,0,16,0,0,0,0,0,0,6096,485564,516,2278,972,0,0,0,130,26,384,0,144,0,2,0,51,6,0
105,LDS,ds_write_b32,v5,v4,,,,9668,5,4,4,0,0,0,0,0,0,6096,485564,516,2278,972,0,0,0,130,26,384,0,144,0,2,0,51,6,0
106,VALU,v_add_u32_e32,v5,s5,v5,,,9672,6,0,12,0,0,0,0,0,0,6096,485564,516,2278,972,0,0,0,130,26,384,0,144,0,2,0,51,6,0
107,LDS,ds_write_b32,v5,v4,,,,9688,5,4,4,0,0,0,0,0,0,6096,485564,516,2278,972,0,0,0,130,26,384,0,144,0,2,0,51,6,0
108,VALU,v_add_u32_e32,v5,s5,v5,,,9692,6,0,12,0,0,0,0,0,0,6096,485564,516,2278,972,0,0,0,130,26,384,0,144,0,2,0,51,6,0
109,LDS,ds_write_b32,v5,v4,,,,9708,5,4,4,0,0,0,0,0,0,6096,485564,516,2278,972,0,0,0,130,26,384,0,144,0,2,0,51,6,0
110,VALU,v_add_u32_e32,v5,s5,v5,,,9712,6,0,12,0,0,0,0,0,0,6096,485564,516,2278,972,0,0,0,130,26,384,0,144,0,2,0,51,6,0
111,LDS,ds_write_b32,v5,v4,,,,9728,5,4,4,0,0,0,0,0,0,6096,485564,516,2278,972,0,0,0,130,26,384,0,144,0,2,0,51,6,0
112,VALU,v_add_u32_e32,v5,s5,v5,,,9732,6,0,4,0,0,0,0,0,0,6096,485564,516,2278,972,0,0,0,130,26,384,0,144,0,2,0,51,6,0
113,SALU,s_add_i32,s6,s6,-8,,,9740,2,4,4,0,0,0,0,0,0,6096,485564,516,2278,972,0,0,0,130,26,384,0,144,0,2,0,51,6,0
